time,content,splitword
2018-12-30,在听音乐的团团突然想问问小伙伴哪一首歌曾引起你内心的共鸣每人来推荐一首吧,音乐 团团 问问 小伙伴 一首歌 内心 共鸣 每人 推荐 一首
2018-12-29,通报爆炸事故处理进展土建学院院长已停职检查月日北京交通大学东校区土建学院市政与环境工程实验室内进行垃圾渗滤液污水处理科研实验时发生爆炸三名参与实验的研究生不幸遇难日北交大网站通报事故处理进展目前土建学院院长已停职检查土建学院遇难研究生的导师,通报 爆炸 事故 进展 土建 学院 院长 停职检查 北京 交通 大学 东校区 土建 学院 市政 环境工程 实验室 垃圾 滤液 污水处理 科研 实验 发生爆炸 三名 参与 实验 研究生 不幸遇难 北交大 网站 通报 事故 进展 土建 学院 院长 停职检查 土建 学院 遇难 研究生 导师
2018-12-29,即将迎来元旦小长假今天你的心情是,迎来 元旦 长假 心情
2018-12-29,畅飞蓝天大型客机了解一下日我国第三架飞机完成首飞从国产大客机立项到首架冲上云霄我国航空人夜以继日十年磨一剑目前已累计获得家客户共架订单是什么意思它的性能到底如何未来啥时能坐上它九图回顾大型客机成长之路转发收藏,畅飞 蓝天 大型 客机 我国 第三 架飞机 首飞 国产 大客机 立项 首架 冲上 云霄 我国 航空 夜以继日 十年磨一剑 累计 客户 共架 订单 性能 未来 九图 回顾 大型 客机 成长 收藏
2018-12-29,这一年我们更加明白美好的向往都需要自己努力人生的幸福都源自亲手的打拼,一年 明白 美好 向往 努力 人生 幸福 源自 打拼
2018-12-29,挑战科技极限一起围观机智过人先锋盛典书法绘画模拟声音步态识别还记得那些令人瞠目结舌的黑科技吗月日撒贝宁与你相约央视一套综合频道黄金档,挑战 科技 极限 围观 机智 先锋 盛典 书法 绘画 模拟 声音 步态 识别 记得 令人 瞠目结舌 科技 贝宁 相约 央视 一套 综合 频道 黄金档
2018-12-29,今日份奖品又来啦恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效,今日 奖品 恭喜 富虹 油品 一级 大豆油 富虹 油品 一级 大豆油 富虹 油品 一级 大豆油 微博 官方 唯一 抽奖 工具 本次 抽奖 监督 公正
2018-12-29,维护民警执法权威新规年月日正式施行年来全国共有万余名民警因公牺牲为公安事业献出了宝贵生命年至年的年里全国公安民警因公牺牲人因公负伤或致残万人其中年牺牲人平均年龄只有岁详戳,维护 民警 执法 权威 新规 年月日 正式 施行 全国 共有 万余名 民警 因公 牺牲 公安 事业 献出 宝贵 生命 全国 公安民警 因公 牺牲 因公负伤 致残 万人 牺牲 平均年龄
2018-12-29,恭喜等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接,恭喜 百雀羚 三生 护手霜 套装 百雀羚 三生 护手霜 套装 微博 官方 唯一 抽奖 工具 本次 抽奖 监督 公正 公示 链接
2018-12-29,当一个自闭症男孩走进大学课堂日前广州少年宫推广的大学插班生活动中广州大学动画系教授周鲒邀请患有自闭症的岁青年韦一哲走进校园与普通青年融合相处周鲒邀请韦一哲表演才艺还和同学们一起进行人物速写训练安静的教室里只有他兴奋地鼓掌不时发出叫声和笑声站起来甩动双手,自闭症 男孩 走进 大学 课堂 广州 少年宫 推广 大学 插班生 活动 广州大学 动画 教授 邀请 患有 自闭症 青年 韦一哲 走进 校园 青年 融合 相处 邀请 韦一哲 表演 才艺 同学 人物 速写 训练 安静 教室 兴奋 鼓掌 发出 叫声 笑声 甩动 双手
2018-12-29,恭喜等名用户获得百雀羚三生花护手霜套装等名用户获得富虹油品一级大豆油公示链接奖品抽完中奖的小伙伴请于日内填写收货信息没中奖的小伙伴也不要气馁要继续参与团团的活动哟,恭喜 百雀羚 三生 护手霜 套装 富虹 油品 一级 大豆油 公示 链接 奖品 抽完 中奖 小伙伴 请于 填写 收货 信息 中奖 小伙伴 气馁 参与 团团 活动
2018-12-29,你冷吗今冬首个暴雪黄色预警来了今天时中央气象台发布暴雪黄色预警预计今天时至明天时贵州中南部湖南中北部江西西北部等地有大雪局地暴雪贵州南部湖南南部广西北部等地的部分地区有冻雨你穿了几条裤子资料图自视觉中国,今冬 首个 暴雪 黄色 预警 中央气象台 发布 暴雪 黄色 预警 预计 时至 明天 贵州 中南部 湖南 中北部 江西 西北部 大雪 局地 暴雪 贵州 南部 湖南 南部 广西 北部 地区 冻雨 几条 裤子 资料 图自 视觉
2018-12-29,打击网络诈骗亮剑虚假报道这些网络诚信新闻给力不年度中国网络诚信十大新闻征集评选结果日在京公布表示此次征集活动旨在梳理年度中国网络诚信建设领域的重要新闻引发社会各界对网络诚信问题的关注引导广大网民积极投身网络诚信建设,打击 网络 诈骗 亮剑 虚假 报道 网络 诚信 新闻 给力 年度 网络 诚信 十大 新闻 征集 评选 公布 征集 活动 旨在 梳理 年度 网络 诚信 建设 领域 新闻 引发 社会各界 网络 诚信 关注 引导 网民 投身 网络 诚信 建设
2018-12-29,恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接,恭喜 富虹 油品 一级 大豆油 富虹 油品 一级 大豆油 微博 官方 唯一 抽奖 工具 本次 抽奖 监督 公正 公示 链接
2018-12-29,鸿雁星座首发星发射成功中国航天发射任务圆满收官今天时我国在酒泉卫星发射中心用长征二号丁运载火箭成功将鸿雁星座的首发星发射升空标志着鸿雁星座的建设全面启动此次发射也是年中国航天的最后一次发射任务,鸿雁 星座 首发 发射成功 中国航天 发射 圆满 收官 我国 酒泉卫星发射中心 长征二号 运载火箭 成功 鸿雁 星座 首发 发射 升空 标志 鸿雁 星座 建设 启动 发射 中国航天 发射
2018-12-29,今天是年的最后一个工作日你做完这一年的事了嘛有没有什么小得意小遗憾,工作日 一年 有没有 得意 遗憾
2018-12-29,中了国家级大奖还开了场发布会是什么体验贼达不溜贼达不溜月日下午国防部举行例行记者会国防部新闻局局长国防部新闻发言人吴谦大校公布了上周四国防部官微抽奖活动结果共有位幸运粉丝获奖然后这十个就这么当众被念了出来,国家级 大奖 还开 发布会 体验 下午 国防部 例行 记者会 国防部 新闻局 局长 国防部 新闻 发言人 吴谦 大校 公布 上周四 国防部 官微 抽奖 活动 共有 幸运 粉丝 获奖 十个 当众 被念
2018-12-29,快递小哥团团的暖心包来了活动开始啦在线递询精准递援冬日递暖团团递语团团联合国家邮政局给快递小哥送上暖心包你想对快递小哥说什么,快递 小哥 团团 心包 活动 在线 递询 精准 递援 冬日 递暖 团团 递语 团团 联合 国家邮政局 快递 小哥 送上 心包 快递 小哥
2018-12-29,民警在依法履职过程中遇到暴力袭击冲击阻碍的公安机关应当积极维护民警执法权威行为人实施侵犯民警执法权威的行为构成犯罪的依法追究刑事责任尚不构成犯罪构成违反治安管理行为的依法给予治安管理处罚公安机关不应当受舆论炒作等人为因素影响不当或者变相追究民警责任详,民警 依法 履职 过程 暴力 袭击 冲击 阻碍 公安机关 维护 民警 执法 权威 行为人 实施 侵犯 民警 执法 权威 构成犯罪 依法追究 刑事责任 构成犯罪 违反 治安管理 依法 给予 治安管理 处罚 公安机关 舆论 炒作 人为因素 影响 不当 变相 追究 民警 责任
2018-12-28,还有的还有的哈恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油公示链接,恭喜 富虹 油品 一级 大豆油 富虹 油品 一级 大豆油 富虹 油品 一级 大豆油 公示 链接
2018-12-28,你有没有感受到天气的寒冷和团团的温暖,有没有 感受 天气 寒冷 团团 温暖
2018-12-28,好消息年终奖个税优惠政策延续至年新个税法实施后年终奖还能享受之前的个税优惠吗财政部税务总局日下发通知居民个人取得全年一次性奖金符合规定的在年月日前不并入当年综合所得以全年一次性奖金收入除以个月得到的数额单独计算纳税,好消息 年终奖 优惠政策 延续 个税法 实施 年终奖 享受 优惠 财政部 税务总局 下发 通知 居民 一次性 奖金 符合规定 年月日 并入 当年 综合 得以 一次性 奖金 收入 除以 数额 单独 计算 纳税
2018-12-28,北京红黄蓝幼儿园虐童案一审宣判月日上午北京市朝阳区人民法院依法对被告人刘亚男虐待被看护人案公开宣判以虐待被看护人罪一审判处刘亚男有期徒刑一年六个月同时禁止其自刑罚执行完毕之日或者假释之日起五年内从事未成年人看护教育工作详戳,北京 红黄蓝 幼儿园 虐童 案一审 宣判 上午 北京市 朝阳区 人民法院 依法 被告人 刘亚 虐待 看护人 公开 宣判 虐待 看护人 罪一 审判 刘亚 有期徒刑 一年 六个月 禁止 其自 刑罚 执行 完毕 假释 之日起 五年 未成年人 看护 教育 工作
2018-12-28,理想者朱婷面对命运的唯一出路纯粹质朴大气是我年遇到的最美的灵魂衷心愿你一生快乐平安,理想 朱婷 面对 命运 唯一 出路 质朴 大气 最美 灵魂 衷心 一生 快乐 平安
2018-12-28,小伙伴们还有很多奖品会陆续抽出恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接,小伙伴 奖品 陆续 抽出 恭喜 富虹 油品 一级 大豆油 富虹 油品 一级 大豆油 微博 官方 唯一 抽奖 工具 本次 抽奖 监督 公正 公示 链接
2018-12-28,水立方将变冰立方泳池变冰面承接冬奥会比赛月日国家游泳中心水立方正式开始改造向冰立方的变身改造后的水立方将在比赛大厅新增冰壶场地功能满足北京年冬奥会和冬残奥会赛事需要,水立方 变冰 立方 泳池 冰面 承接 冬奥会 比赛 国家 游泳 中心 水立方 正式 改造 立方 变身 改造 水立方 比赛 大厅 新增 冰壶 场地 功能 北京 冬奥会 残奥会 赛事
2018-12-28,没中到的小伙伴别着急奖品还陆续有来恭喜等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装公示链接,没中 小伙伴 别着急 奖品 陆续 有来 恭喜 百雀羚 三生 护手霜 套装 百雀羚 三生 护手霜 套装 百雀羚 三生 护手霜 套装 公示 链接
2018-12-28,这就是中国军人国防部发布视频家国与边关人的青春只有一次但青春不只是眼前的潇洒也有家国与边关两万两千多公里的陆地边防线每一处都留下了他们的脚印岁月静好不过是因为他们在负重前行岁末年终阖家团聚时请别忘了这群卫国戍边的中国军人,军人 国防部 发布 视频 家国 边关 青春 青春 眼前 潇洒 有家国 边关 两万 两千多 公里 陆地 边防线 每一处 留下 脚印 岁月 静好 是因为 负重 前行 岁末 年终 阖家 团聚 时请 别忘了 这群 卫国 戍边 军人
2018-12-28,铁锅瓷盘咸鸭蛋时光胶囊南海一号解密年前南宋风貌从沉船里打捞上来的瓷器铁锅咸鸭蛋都是海上丝绸之路的明证南海一号古沉船考古队领队孙键的愿望是尽快摸清家底最大限度地保护这些珍宝将财富留存给子孙后代,铁锅 瓷盘 咸鸭蛋 时光 胶囊 南海 一号 解密 年前 南宋 风貌 沉船 打捞 瓷器 铁锅 咸鸭蛋 海上 丝绸之路 明证 南海 一号 沉船 考古队 领队 孙键 愿望 摸清 家底 限度 保护 珍宝 财富 留存 子孙后代
2018-12-28,中医药管理局整治打着中医旗号的养生保健服务乱象日国家中医药管理局召开专题会议整治打着中医旗号的养生保健服务乱象各级中医药主管部门要针对发布中医医疗广告培训保健服务及产品等问题开展全面排查和梳理要会同相关部门对发现的违法违规行为从严从速处理,中医药 管理局 整治 打着 中医 旗号 养生 保健 服务 乱象 国家中医药管理局 专题会议 整治 打着 中医 旗号 养生 保健 服务 乱象 中医药 主管部门 发布 中医 医疗广告 培训 保健 服务 产品 排查 梳理 会同 相关 部门 发现 违法 违规行为
2018-12-28,一周团团微博热榜出炉你感动了吗这一周我们一起经历了考研大关我们发出青春的宣言学会用美好的心去看待这个世界我们还思考了一个人生难题今天晚上吃什么当然还有小伙伴们都记得有你的日子夜夜平安这是我们,一周 团团 微博热 出炉 感动 一周 经历 考研 大关 发出 青春 宣言 学会 美好 心去 看待 世界 思考 人生 难题 晚上 小伙伴 记得 日子 夜夜 平安 这是
2018-12-28,哪一瞬间让你感受到中国制造的力量感聆听他们的声音,一瞬间 感受 制造 力量感 聆听 声音
2018-12-28,权健事件联合调查组权健涉嫌存在夸大宣传问题其他问题正进一步核查据央视日权健联合调查组核查工作取得初步进展天津市副市长联合调查组组长康义表示经初步核查天津权健公司部分产品涉嫌存在夸大宣传问题针对其他问题调查工作仍紧张进行中调查结果会及时向社会公布,权健 事件 联合 调查组 权健 涉嫌 夸大 宣传 进一步 核查 央视 日权健 联合 调查组 核查 工作 初步 进展 天津市 市长 联合 调查组 组长 康义 初步 核查 天津 权健 公司 产品 涉嫌 夸大 宣传 调查 工作 紧张 调查结果 社会 公布
2018-12-28,北斗知识小测验不是北斗七星不是北斗神拳是北斗卫星导航系统啦北斗女神亲自出题据说只有的人能全部答对这些考题你来试试,北斗 知识 测验 北斗七星 北斗神拳 北斗 卫星 导航系统 北斗 女神 出题 人能 答对 考题
2018-12-28,网红隧道快来打卡由中铁十七局市政公司承建的贵州省六威高速黄家屋基隧道内利用可储能发光稀土材料打造的舒缓照明项目可通过呈现出的海底隧道景观完全消除黑洞和盲光现象极大提高了黑暗环境下的可视距离高速公路号通车快去打卡吧中国铁建,网红 隧道 打卡 中铁 十七 市政 公司 承建 贵州省 六威 高速 黄家 屋基 隧道 利用 储能 发光 稀土 材料 打造 舒缓 照明 项目 呈现出 海底隧道 景观 消除 黑洞 盲光 现象 提高 黑暗 环境 可视 距离 高速公路 通车 快去 打卡 铁建
2018-12-28,嗯发现了美食不不不美景哇塞这么多土特产,发现 美食 美景 哇塞 土特产
2018-12-28,青年人最喜爱的国风音乐快来了解一下,青年人 喜爱 国风 音乐
2018-12-28,改革先锋人物进清华孙永才将复兴号打造成新时代的国家名片孙永才从年开始主持研制大功率机车和高速动车组列车通过自主创新掌握了动车组九大关键技术和十项配套技术复兴号高速列车迈出从追赶到领跑的关键一步把复兴号打造成新时代的国家名片,改革 先锋 人物 清华 孙永才 复兴号 时代 国家 名片 孙永才 主持 研制 大功率 机车 高速 动车组 列车 自主 创新 动车组 九大 关键技术 十项 配套技术 复兴号 高速 列车 迈出 追赶 领跑 关键 一步 复兴号 时代 国家 名片
2018-12-27,恭喜等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油等名用户获得富虹油品一级大豆油微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接,恭喜 富虹 油品 一级 大豆油 富虹 油品 一级 大豆油 富虹 油品 一级 大豆油 微博 官方 唯一 抽奖 工具 本次 抽奖 监督 公正 公示 链接
2018-12-27,做讨厌的事情会累但是做喜欢的事却不会累小伙伴们喜欢做什么事情呢,讨厌 事情 会累 喜欢 小伙伴 喜欢 事情
2018-12-27,你冷不冷今天中央气象台继续发布寒潮蓝色预警局地降温超过注意防寒保暖,冷不冷 中央气象台 发布 寒潮 蓝色 预警 局地 降温 超过 防寒保暖
2018-12-27,我国成功研制高端超分辨光学显微镜由中国科学院苏州生物医学工程技术研究所承担的国家重大科研装备研制项目超分辨显微光学核心部件及系统研制日通过验收验收专家组组长中科院高能物理所柴之芳院士认为该项目的成功实施改善了我国高端光学显微镜基本依赖进口的状况,我国 成功 研制 高端 分辨 光学 显微镜 中国科学院 苏州 生物医学 工程技术 研究所 承担 国家 科研 装备 研制 项目 分辨 显微 光学 核心部件 系统 研制 验收 验收 专家组 组长 中科院 高能物理 柴之芳 院士 该项 目的 成功 实施 改善 我国 高端 光学 显微镜 依赖 进口 状况
2018-12-27,生命的接力满满的正能量,生命 接力 满满的 能量
2018-12-27,新个人所得税法元旦起实施手把手教你填专项扣除信息表转存年月日起新的个人所得税法将正式实施纳税人在每月元起征点基础上还可享受子女教育继续教育住房租金等项专项附加扣除政策如何进行申报专扣信息表咋填戳视频有用,个人所得税法 元旦 实施 手把手 专项 扣除 信息 转存 年月日 起新 个人所得税法 正式 实施 纳税人 每月 起征点 基础 享受 子女教育 教育 住房 租金 专项 附加 扣除 政策 申报 专扣 信息 视频 有用
2018-12-27,点赞乡村小学校长为全校个孩子每天下厨加餐江西省余江县黄泥小学因学生外流全校只有个学生今年月以来校长章站亮坚持自费为孩子们做饭加餐他表示学校目前留下的孩子全都是留守儿童他想借加餐给孩子们补充营养也是对孩子们心理和精神上营养的补充,点赞 乡村 小学校长 全校 孩子 下厨 加餐 江西省 余江县 黄泥 小学 学生 外流 全校 学生 校长 章站 自费 孩子 做饭 加餐 学校 留下 孩子 留守 儿童 加餐 孩子 补充 营养 孩子 心理 精神 营养 补充
2018-12-27,致敬每一颗勇敢的心过去一年你如何面对这不完美的世界有人挺身而出有人临危不惧有人学会擦干眼泪微笑面对别离道阻且长愿你总有勇气,一颗 勇敢 一年 面对 完美 世界 有人 挺身而出 有人 临危不惧 有人 学会 擦干 眼泪 微笑 面对 别离 阻且 长愿 总有 勇气
2018-12-27,重磅中国北斗系统今天开始提供全球服务在月日下午举行的国务院新闻办公室新闻发布会上中国卫星导航系统管理办公室主任北斗卫星导航系统新闻发言人冉承其宣布北斗三号基本系统完成建设于今日开始提供全球服务这标志着北斗系统服务范围由区域扩展为全球北斗系统正,重磅 北斗 系统 提供 全球 服务 下午 国务院新闻办公室 新闻 发布会 卫星 导航系统 管理 办公室 主任 北斗 卫星 导航系统 新闻 发言人 冉承其 北斗 三号 系统 建设 今日 提供 全球 服务 标志 北斗 系统 服务 区域 扩展 全球 北斗 系统
2018-12-27,地表最强陆军宣传片震撼发布今年月日陆军领导机构组建成立三周年发布宣传片地表最强展示陆军三年转型建设成果戳视频跟随震撼画面和炫酷镜头一起感受人民陆军强军兴军的铿锵步履,地表 最强 陆军 宣传片 震撼 发布 陆军 领导 机构 组建 成立 三周年 发布 宣传片 地表 最强 展示 陆军 三年 转型 建设 成果 视频 跟随 震撼 画面 炫酷 镜头 感受 陆军 强军 兴军 铿锵 步履
2018-12-27,开饭啦请各位胖友有序排队不要插队哦,开饭 胖友 有序 排队 插队
2018-12-27,国防部以武拒统只有死路一条,国防部 武拒统 死路一条
2018-12-27,你见过凌晨的城市吗,凌晨 城市
2018-12-27,这个大学合唱团火了女生不够男生穿裙充数近日合唱团的一段表演火了因女生太少男生不得不穿上裙子在台上帮唱引爆笑合唱团指导老师称这是一场新年合唱音乐会想增添一些喜庆气氛才这样设计,大学 合唱团 女生 男生 穿裙 充数 近日 合唱团 一段 表演 女生 男生 裙子 台上 帮唱 引爆 合唱团 指导老师 一场 新年 合唱 音乐会 增添 喜庆 气氛 设计
2018-12-27,深圳警方通报父母虐童女童父母被采取刑事强制措施日通报近日深圳宝安区一女童被殴打视频在网络上迅速传播警方查明女童父母因子女教育等生活琐事多次打骂女童鉴于被殴女童无告诉能力依法对其父母刑事立案侦查并对二人采取刑事强制措施目前女童已恢复正常上学,深圳 警方 通报 父母 虐童 女童 父母 刑事 强制措施 通报 近日 深圳 宝安区 女童 殴打 视频 网络 传播 警方 查明 女童 父母 子女教育 生活 琐事 打骂 女童 女童 告诉 能力 依法 父母 刑事 立案侦查 二人 刑事 强制措施 女童 恢复正常 上学
2018-12-27,恭喜等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装等名用户获得百雀羚三生花护手霜套装微博官方唯一抽奖工具对本次抽奖进行监督结果公正有效公示链接,恭喜 百雀羚 三生 护手霜 套装 百雀羚 三生 护手霜 套装 百雀羚 三生 护手霜 套装 微博 官方 唯一 抽奖 工具 本次 抽奖 监督 公正 公示 链接
2018-12-26,恭喜名用户获得创维智能家电大礼包等名用户获得中吉号吉祥孔雀普洱生茶等名用户获得东家雨今云古南宋官窑对杯请务必于三个工作日内上传收货信息抽奖一天不停哟公示链接,恭喜 创维 智能 家电 大礼包 中吉号 吉祥 孔雀 普洱 生茶 东家 今云古 南宋 官窑 对杯 务必 三个 工作日内 上传 收货 信息 抽奖 不停 公示 链接
2018-12-26,还有更多小伙伴给送来了礼物今天是毛泽东同志诞辰周年我们和广大中国制造企业一道共同发起中国制造日共祝新时代国强这里包含了更多参与本次中国制造日的各地团委和中国企业小伙伴们可以踊跃参与,小伙伴 送来 礼物 毛泽东 同志 诞辰 周年 制造 企业 一道 发起 制造 共祝 时代 包含 参与 本次 制造 团委 企业 小伙伴 踊跃 参与
2018-12-26,重磅有车还有车模哟我是东风风神是中国制造更是中国智造贺主席诞辰愿新时代国强全新一代集智能车机生态大气外观交互美学丰富配置越级享受于一身开启智慧出行新时代让你爱上中国智造转评此微博我们将送出台全新一代原厂车模,重磅 有车 车模 东风 风神 制造 更是 智造 主席 诞辰 愿新 时代 全新 一代 智能 车机 生态 大气 外观 交互 美学 配置 越级 享受 一身 开启 智慧 出行 时代 智造 评此 微博 出台 全新 一代 原厂 车模
2018-12-26,自力更生艰苦奋斗中国制造想当初我们就被超高压卡住了脖子但那又怎么样现在我们不仅突破了超高压还搞定了特高压建成了世界第一个千伏特高压直流输电工程怕个啥,自力更生 艰苦奋斗 制造 想当初 超高压 卡住 脖子 突破 超高压 搞定 特高压 建成 世界 第一个 千伏 特高压 直流 输电 工程
2018-12-26,期待中国楼更高中国路更远中国制造中国建筑遍布全球,期待 制造 建筑 遍布 全球
2018-12-26,金坷垃想当初外国专家说罗布泊没法生产硫酸钾想用就得进口啦自从有了国投罗钾任凭缺水风沙大工艺装备自主研发硫酸钾生产基地搞成了世界最大怕个啥厉害了你的国天天让人卡脖子还有脸提中国制造,坷垃 想当初 外国专家 罗布泊 没法 生产 硫酸钾 想用 进口 国投 罗钾 缺水 风沙 工艺 装备 自主 研发 硫酸钾 生产 基地 搞成 世界 厉害 天天 卡脖子 脸提 制造
2018-12-26,不说了中午多吃点洋葱洋芋洋白菜卡脖子想当初我们用的叫洋火洋油洋钉有了我们便有了中国第一台摩擦焊机第一台液压伺服工业机器人第一条薄板压淬生产线我们就是中国制造技术增高垫卡不住更卡不住和怕个啥,中午 多吃点 洋葱 洋芋 洋白菜 卡脖子 想当初 洋火 洋油 洋钉 第一台 摩擦 焊机 第一台 液压 伺服 工业 机器人 第一条 薄板 生产线 制造 技术 增高 垫卡 不住 更卡 不住
