time,month,tags,cluster_keywords,heat,content
2018-10-30,10,6509,金庸 李咏,97570.3,享年岁生平履历盘点金庸原名查良镛年月日生于浙江省海宁市年移居香港年考入重庆中央政治大学外交系年毕业于上海东吴大学法学院年与杜治芬结婚后离婚年再娶第二任妻子朱玫生二子二女年调入新晚报编辑副刊并
2018-10-03,10,6511,范冰冰,49394.1,中共中央政法委网站解读范冰冰偷逃税被查处划重点了中共中央政法委员会新闻网站长安剑对税务部门查处范冰冰偷逃税作出解读指出范冰冰受罚意义不单在警示教育而是吹响了依法整治行业乱象的号角解读一是范冰冰所需补缴的税款滞纳金以及罚款加在一起超过亿二是范冰冰所受
2018-10-29,10,6512,李咏,90132.7,李咏去年感恩节发布最后一条微博刚刚哈文宣布在年月日李咏于感恩节发布最后一条微博感谢了妻女以及所有人哈文则在下方甜蜜互动感恩节快乐今年月日哈文也晒出图片为老公庆祝生日从照片上看李咏的状态略显疲惫疑似因被癌症折磨
2018-09-12,9,9685,幼儿园,550.2,嫂子不愿意和年迈父母同住大家看看是谁的错哥嫂房子是他们自己打拼买的结婚包括买房我父母分文未出自他们在一起这些年父母也极少找哥嫂要过钱父母老家镇上有一套房子靠着微博的收入勉强过得去小侄子是嫂子那边家人帮忙带到三岁后上幼儿园由哥嫂自己带因为哥嫂一直在外
2018-09-27,9,9686,张雨绮 网传,58607.8,张雨绮曾在节目中自曝看男人的眼光确实不行面对网友觉得她总遭遇渣男的问题坦然回应我其实过得挺好的谁的人生没有几个大坑呢跨过去就是成长从与汪小菲互扇耳光到踹王全安车门再到被曝持刀与袁巴元争执绮姐又跨过一步了
2018-09-03,9,9687,军训 新生,27739.600000000002,网曝中戏教官用刘昊然激励学生训练日有网友爆料正在补军训的被中戏的调皮教官们当作激将法敦促学生们训练练好了我让你们面对刘昊然的队伍拉歌时同学们还起哄刘昊然来一个李兰迪李兰迪刘源学长今天也很忙了呢
2018-09-19,9,9688,网传 中秋,13851.4,网爆新版还珠格格定妆表剧方选角还没开始日疑似新版还珠格格第一季定妆表曝出照片中显示小燕子一角由扮演紫薇由饰演将出演五阿哥新浪娱乐就此求证剧方对方表示选角还没开始网传定妆表是假的
2018-09-24,9,9689,吴秀波,24506.6,男方挂电话不回应日女演员陈昱霖在朋友圈中发文透露自己和已婚演员吴秀波是恋人关系已有七年感情她表示在这七年中另有两人和吴秀波也存在过情侣关系其中一位是和吴秀波合作过军师联盟的女演员张芷溪因由张芷溪的骚扰自己已患上抑郁症对此新
2018-09-24,9,9690,瑞典,2751.7999999999997,时要闻回顾林俊杰香港开唱吴谨言化身迷妹兴奋拍摄秦岚曝想脱单到我这年纪就不要太挑剔了人民日报评瑞典辱华事件如此幽默我们不接受好友晒李晨朋友圈截图范冰冰生日当天送祝福陈绮贞无名指戴戒引
2018-09-12,9,9691,保安,1431.4,小沈阳吸毒被抓妻子沈春阳辟谣日有网友晒出一段被保安拉着走的视频称小沈阳吸毒被抓这是真的吗晚间亲自转发辟谣这是他参加慈善晚会后的时候不了解真相就造谣传播这样的视频真的好吗必要时我们会拿起法律的武器来保护自己
2018-09-24,9,9692,中秋 刘强东,15494.7,登央视中秋晚会献唱月半弯大表姐唱歌的样子很少女甜甜跟台上气场全开的样子完全是强烈反差萌小浪全程姨母笑你们来听听
2018-09-28,9,9693,大师,20215.6,这是文艺界悲伤的九月短短一月内相声表演艺术家常宝华小提琴家盛中国评书大师单田芳表演艺术家朱旭日本影后树木希林吉祥三宝父亲布仁巴雅尔相声名家刘文步粤剧名伶吴君丽摇滚歌手臧天朔相声女艺术家张文霞相声名家师胜杰相继去世愿艺术家们一路走好
2018-09-03,9,9694,刘强东 京东 被捕,8562.6,刘强东被捕后照片曝光警方曝其目前不得离开美国近日网传刘强东在美涉性侵女大学生被捕京东日发布声明称为失实指控明尼苏达州亨内平郡警署向媒体证实刘强东在当地时间周五被拘捕后于周六下午被保释保释原因与被捕时间有关该警署还提供了刘强东被拘捕时的照片警方表示目前此案
2018-09-05,9,9695,刘强东 被捕 京东,132372.5,刘强东被捕手铐照曝光警方涉嫌一级强奸重罪据外媒美国明尼阿波利斯警方在当地时间周二就刘强东一事给出更多新的细节称其上周五晚是因涉嫌强奸被捕所指称的强奸发生在当天凌晨点同时还曝光了其在警察局内手铐照片警方表示目前仍在继续调查刘强东在明尼苏达大学逗留期间的行为
2018-09-01,9,9696,新生 网传,90515.5,吴磊作为北电级新生代表发言月日北京电影学院举行开学典礼作为新生代表发言三石弟弟身穿校服手拿资料阳光帅气青春气息十足他表示自己五岁时开始接触表演后来发现沉入在角色的世界是一种非常新奇非常美妙的体验因此更加坚定了自己要走的路长大了一定要考北
2018-08-31,8,12704,吴谨言 攻略 璎珞,4871.9,吴谨言再度就耍大牌风波道歉日在接受新浪娱乐专访时再次就耍大牌风波道歉因为是新人工作团队每天也面临很多的工作有一些疏忽有一些自己做的不对的地方我觉得要做出一个道歉希望大家也能有包容的心态希望他们能够原谅我们的态度
2018-08-02,8,12705,步行街,1257.1000000000001,反串黑带节奏识别清楚就好欢迎新加入虎扑步行街但请务必注意素质版规很严格版主很尽责借楼不要在给小女生发私处照了真的下流部分低素质口嗨已经让人感到恶心了这样不是跟脑残粉一样有个没关注步行街的人发下面给脑残
2018-08-24,8,12706,攻略 延禧 如懿传,40848.6,延禧攻略乾隆皇上今日驾临新浪宫啦双耳哥哥勇敢飞卫龙女孩永相随李玉的屁股已备好皇上请踢结发之妻不能忘富察容音心凉凉除了遇上帝后卫龙傅璎等戏精小编之外更有新浪傅恒前来拜见傲娇的乾小四也贴心准备了真猪蹄子一路派发快来回顾
2018-08-05,8,12707,张馨予 何捷 延禧,159726.4,张馨予结婚美张馨予纯白拖地婚纱独家曝光高清大图照片中张馨予与帅气的军官老公何捷亲密贴脸郎才女貌配一脸啊
2018-08-15,8,12708,如懿传 延禧 吴谨言,23657.9,如懿传疑因台网更新不同步再延播据港媒由主演的如懿传或因台网更新不同步而再度延播据知情人称该剧原定日首播但电视台对每周电视更新集网络平台更新集感到非常不满因而向制片方提出抗议新浪娱乐就此事求证剧方工作人员对方暂未回应
2018-08-27,8,12709,滴滴 吴谨言,839.6,时要闻回顾吴亦凡为滴滴顺风车事件发声你想象不到的险恶章子怡超负荷工作自侃脑子彻底瓦它了许凯重现傅恒结局吴谨言哭崩田亮生日森碟美呆普利策奖得主剧作家尼尔西蒙去世
2018-08-13,8,12710,账户 黄晓明,3332.1000000000004,涉罚没亿股票操纵案据媒体报道证监会公布的获利近亿元罚没款高达亿元的高勇股票操纵案中自然人账户之一确认为艺人名下账户知情人士表示这些自然人账户所有人如果仅仅是出借账户并不知道账户被利用进行市场操纵这些账户也不会被冻结据悉黄晓明是在
2018-08-21,8,12711,璎珞 攻略 延禧,39973.3,夜市五巨头了解一下吃面条的魏璎珞撸串的邓紫棋撒孜然的华晨宇切西瓜的蔡徐坤扯面的关晓彤马可大晚上的看饿了
2018-08-11,8,12712,片酬 延禧 攻略,9692.0,三大视频网站六大制片公司联合声明限制天价片酬爱奇艺优酷腾讯视频正午阳光华策影视柠萌影业慈文传媒耀客传媒新丽传媒发布关于抑制不合理片酬抵制行业不正之风的联合声明声明中指出共同抵制艺人天价片酬单个演员的单集片酬含税不得超过
2018-08-27,8,12713,张馨予,9166.9,现场曝光新娘身穿白色抹胸婚纱头披白纱长长的裙摆唯美梦幻她与新郎手挽着手亲密地走进内场二人嘴角都露出了幸福的笑容走上台阶时何捷还贴心的将张馨予的婚纱挽起生怕自己的新娘被绊倒满满的爱意简直快要溢出镜头
2018-08-18,8,12715,奖项 七夕,25063.1,奖项获粉丝颁发唯火锅与老肉不可辜负奖粉丝自侃痘痘都是看她吃火锅看出来的自认被演戏耽误了的歌手瑶妹现场和粉丝合唱心愿便利贴超甜的获得最上镜自拍奖不仅和过生日的粉丝亲切自拍把礼物挂在衣服上还超苏地说自己的
2018-08-23,8,12717,延禧 攻略 如懿传,18561.2,于正回应延禧攻略如懿传被作对比近日如懿传开播后延禧攻略频被网友拿来与之比较讨论度高对此发文回应百花齐放不好吗非得辩个子丑寅卯没意思透了他希望延禧粉专注自己的剧就好其他不必理会并表示同时看两部剧不冲突
2018-08-19,8,12718,荣誉,2692.2,荣誉名单出炉
2018-08-09,8,12719,七夕 璎珞,64581.00000000001,高燃动作对打高甜偷心对决这个七夕要被甜化了
2018-08-16,8,12720,如懿传 攻略,23950.300000000003,如懿传正式定档刚刚由等主演的电视剧如懿传正式宣布定档将于月日开始网播每周一到周四点更新集正面对打延禧攻略你们期待吗
2018-08-05,8,12721,卢凯彤 如懿传,101545.70000000001,香港据港媒报道歌手卢凯彤堕楼身亡今早时分一名女子被发现由跑马地一处豪宅高处堕下因伤重死亡警方调查后证实女子为卢凯彤原因有待调查去年六月卢大方宣布出柜兼承认与同性密友余静萍成婚新浪娱乐也在进一步求证中
2018-08-15,8,12722,黄晓明,5433.7,盘点明星名下投资公司胡海泉黄晓明任泉排前三近日界面数据统计了位明星名下公司截至月日和名下的公司最多分别为和家投资公司方面胡海泉黄晓明名下分别拥有家任泉拥有家二级市场方面共有家上市公司披露过其明星股东的名
2018-07-31,7,15757,举报,5598.7,帮助不明真相的梳理时间线凡工作室月日发函虎扑要求删除所有不利评论试图控评被拒绝月日被版主发现在虎扑里恶意举报所有凡帖试图控评被忽略举报月日被发现爆破虎扑的据点试图控评被一网打尽月日虎扑反击不是你们先拿音频出来喷
2018-07-14,7,15758,录取,97748.09999999999,中戏表演系录取结果出炉易烊千玺双料第一日中央戏剧学院公布了年戏剧影视表演系录取名单其中以文化课分专业课分的好成绩拿下双料第一恭喜马上是大学生的千玺弟弟啦
2018-07-22,7,15759,疫苗 长生,9142.1,章子怡谢娜等发声关注长生问题疫苗今日又一次将疫苗的安全问题推上了舆论的风口浪尖问题疫苗流向不明等纷纷发声质问
2018-07-24,7,15760,单曲,4215.700000000001,大叔团出道单曲首秀好戏携新成员张艺兴献跳推广曲最好的舞台配合电影画面超级有范儿撩到爆炸影片将于月日上映期待吗
2018-07-20,7,15761,药神,5461.0,周末娱乐指南幻乐之城综艺首秀飙演技中餐厅店长回归首次小时试菜摩天营救我不是药神热映中关注并转发本微博就有机会获得周边签名照下周一开奖
2018-07-26,7,15762,疫苗,223.0,泰迪不拴绳猛扑女童狗主人和女童父亲厮打还声称陕西西安某小区岁女童遭泰迪猛扑后受惊吓呕吐女童父亲与狗主人理论时发生厮打其他业主称狗主人养了只狗都没拴绳多次发生围扑小孩的情况狗主人曾对女童父亲说等狗咬了你娃再说咬到打狂犬疫苗
2018-06-22,6,18711,马蓉,48175.9,新浪娱乐独家对话马蓉完整版视频日马蓉诉名誉侵权案二审宣判两案均驳回上诉维持原判而二人离婚析产官司也将会启动稍早马蓉接受新浪娱乐独家专访称自己一直没有出来回应是因为每每我想发声王宝强就说他还爱我爱孩子爱家庭我可能对他还抱有期待
2018-06-03,6,18712,同框 荣誉,6319.5,王俊凯与赵薇苏有朋舒淇同框多名网友偶遇王俊凯和赵薇舒淇苏有朋白举纲在法国录制中餐厅大家聚餐采购小凯辛勤搬货
2018-06-14,6,18713,世界杯 球迷,88443.3,千呼万唤的世界杯于今晚打响啦在世界杯开幕式的现场直播镜头扫过看台活捉一枚热心球迷陈奕迅快来了解一下
2018-06-24,6,18714,杨超越 火箭少女,27343.9,火箭少女成团首秀火箭少女昨天刚刚成团今天就加盟湖南卫视毕业歌会带来首秀热单串烧孟美岐吴宣仪杨超越段奥娟赖美云紫宁杨芸晴李紫婷傅菁徐梦洁你觉得第一次营业的小姐姐们表现如何
2018-06-25,6,18715,球迷,757.5,动漫无国界系列在日本与塞内加尔比赛结束后一名塞内加尔球迷在个人社交媒体中上晒出了自己与日本球迷合唱海贼王主题曲的视频场面嗨到不行
2018-06-24,6,18716,火箭少女,14443.4,韩方孟美岐吴宣仪将并行宇宙少女火箭少女活动据韩媒日宇宙少女所属公司方面表示通过创造出道的和将并行宇宙少女和火箭少女的活动据悉此前总制片人曾明确表示未来两年二人会完全只在火箭少女队里活动
2018-06-05,6,18717,影视 阴阳 华谊,15111.9,陈立农说给岁的自己我希望在我的岁之后我的家人亲朋好友可以更加年轻更加健康出入平安我希望我的事业可以更加顺利更加地有成就可以有一些音乐上的作品以及影视上的作品非常感谢们一直以来的支持今年我也要岁了我希望在我生日之后我们之间可以更加的有默契
2018-06-09,6,18718,高考 考生,27235.4,易烊千玺毕业照曝光同学喊话回来擦黑板告别了高考的高中毕业照在网上曝光一身蓝色校服略长的头发中分表情严肃一脸正气而千玺在高考前留言的黑板已成为新晋网红景点同学们争先来留言更是喊话千玺快回来擦黑板很是会玩没错了
2018-06-17,6,18720,荣誉 影视,5054.6,花絮接受微博突破表现演员荣誉时跳起来和比高也是很皮了自曝接下来也想挑战一下演妈妈的角色至于要不要体验生孩子的疼痛感直言伟大还是留给女性吧不知道刚刚说想演你妈妈的怎么想呢直播间
2018-06-15,6,18722,华谊 影视,3523.5,华谊兄弟手机正常拍摄中上映华谊兄弟计划第六季发布会在上海举行叶宁现场透露冯小刚导演的手机正在正常拍摄之中年上映保证会是一部直指人心的作品在前任再见前任票房大爆后导演田羽生将在年带来新作目前剧本创作中双城计中计的青年导
2018-06-07,6,18723,考生,37204.8,明星押题哪家强年押中福建作文题年押中广东作文题今年写给考生的话又契合全国一卷作文题在创造里对选手说的话押中上海卷被需要及粉丝押中北京卷新时代新青年作家刘慈欣的小说被选为语文阅读你心中谁是押题王
2018-06-05,6,18725,阴阳,8073.700000000001,崔永元再爆料我有一份演员夫妇的阴阳合同涉及亿日崔永元在接受媒体采访中再度爆料称自己手中有一份演员夫妇的阴阳合同该演员同时负责宣发金额涉及亿他还表示自己曝光阴阳合同一事意在告诉大家演员没有想象的那么干净并不是针对范冰冰本人
2018-05-06,5,21458,漫画,5999.299999999999,网友偶遇王俊凯日本喂鹿近日有网友在日本奈良偶遇喂小鹿照片中王俊凯戴着眼镜半蹲着专心喂鹿不时露出微笑斯文安静昨日他也在微博上晒出印有路飞贴纸的拍立得照片是漫画里的少年了
2018-05-26,5,21459,阿娇 哈里,109788.90000000001,阿娇婚纱照曝光阿娇和赖弘国的洛杉矶婚礼派对在洛杉矶当地日中午举行新人穿礼服的照片终于曝光阿娇身穿白色抹胸婚纱艳光四射与男方挽手超恩爱容祖儿最后一刻搞定签证与一众好姐妹包括阿郑希怡何超莲经纪人霍汶希等齐聚见证阿娇的人生大事
2018-05-28,5,21460,戛纳 哈里,7344.4,王源入选戛纳最佳着装据外媒在的着装被新加坡杂志评为戛纳电影节最佳红毯着装评语称尽管只有岁王源在年就被时代杂志评为最具影响力青少年之一此外和也是榜单上仅有的两位中国人
2018-05-11,5,21461,余文乐 母亲节,3781.1000000000004,彭于晏恭喜余文乐当爸日宣布当爸并公开儿子名字稍晚好兄弟发文道喜并跟宝宝隔空打招呼恭喜乐哥乐嫂欢迎平安健康我是结果网友们再次开启催婚模式你也快抓紧啊我们更期待小小彭咳咳其实我是彭太太
2018-05-12,5,21462,汶川 母亲节,39092.3,盘点年在汶川大地震播报中流泪的主播们纪念那些感动的瞬间他们的哽咽泪水我们永远都记得视频网络
2018-05-19,5,21463,哈里,83845.59999999999,英国皇室哈里王子将在日与美国女星梅根完婚这场众所瞩目的皇室婚礼豪掷亿人民币将在温莎堡附近吸引近万人围观花童与小小伴娘团将表现如何更有辣妹合唱团或合体献唱快来围观吧
2018-05-13,5,21464,母亲节 戛纳,10089.400000000001,升级做妈妈我不是胖是怀孕了日在微博宣布怀孕正式升级做妈妈正值母亲节住姐晒出验孕棒的照片并调皮喊话准妈妈的呐喊我不是胖是怀孕了今年三月谢依霖在微博宣布自己结婚的消息再次恭喜
2018-04-23,4,24503,谢娜,20970.8,谢娜产后首露面回归快本全副武装身形仍纤细日前被拍到现身长沙机场只见她一身黑衣包裹严实挥手不断在和接机的粉丝打招呼整体上看谢娜身材恢复很快依旧保持着产前的纤瘦而新浪娱乐此前也从知情人士处获悉谢娜将于月日参加快乐大本营的录制期待
2018-04-12,4,24504,李萌,14174.2,刘恺威力挺杨幂希望不要让善心被无端利用主动公开与中间人李萌合作的聊天转账记录等全部细节李萌的身份和捐款使用上都存有疑点发声力挺妻子杨幂表示每个人都希望能帮到需要帮助的人失误的需要改正但也希望大家了解真相不要让善心被无端利用
2018-04-19,4,24505,霍思燕,5382.0,嗯哼独创芭蕾舞式穿裤法惊呆妈妈在妈超中帮嗯哼穿衣服嗯哼嘴超甜妈妈辛苦了霍思燕那你就自己穿都怪裤子不听话让嗯哼大王穿裤子成了跳芭蕾霍思燕在一旁哭笑不得星小编
2018-04-20,4,24506,漫威,4992.4,漫威影业发文向粉丝道歉复仇者联盟昨晚在上海迪士尼小镇的活动引起大量负面争议先是排队人满为患组织混乱漫威十周年庆典中国歌手合影站位等安排都让粉丝不满对此发文道歉称深知这一切使我们最为珍视的漫威粉丝们失望了并表示会对此负全部责任
2018-04-16,4,24507,香港电影 金像奖,4865.0,第届香港电影影帝获奖感言再次恭喜凭借杀破狼贪狼首次加冕金像奖最佳男主角为古仔开心从怀里掏出讲稿但又放下真的好紧张今晚我坐在台下我在想我们香港人应该怎么做自己的香港电影我真的不知道我从楚原叔拿终身成就奖就想以前在拍
2018-04-15,4,24508,金像奖,5826.0,阿亲证阿娇下月美国完婚与容祖儿郑希怡组姐妹团本届金像奖阿与担任主持直言两人已早早准备并且张继聪会照顾自己阿亲证好姐妹阿娇月日洛杉矶大婚婚礼没有伴娘只有自己和担任姐妹团阿表示阿娇婚纱还没定好并且忙乱到订错机票
2018-03-31,3,27517,霍金,28813.5,霍金葬礼今晚举行据外媒英国科学家和物理学家史蒂芬霍金的葬礼于当地时间月日下午点北京时间日晚点在剑桥教堂举行由名大学搬运工抬棺不对外界开放月日威斯敏斯特教堂观众将可参加感恩祈祷仪式届时霍金的骨灰将被安葬在另一位传奇科学家牛顿的墓旁
2018-03-29,3,27518,性侵 高云翔,19030.5,据澳大利亚每日电讯报中国男星被控在本周一于悉尼一家酒店性侵一名女子女子报警称除了高云翔还有另一名男子王晶音译也涉嫌性侵目前两人已被警方逮捕被控性侵罪名新浪娱乐正在求证中
2018-03-29,3,27519,性侵,3855.4,独家法院拒绝保释月日重新开庭审理据外媒演员和岁男子王晶悉尼涉嫌性侵被捕至今仍被拘留新浪娱乐独家联系到当地法院官方消息称拒绝保释月日上午重新开庭审理
2018-03-12,3,27520,林志玲 助理,1869.0,时要闻回顾范丞丞蔡徐坤陈立农偶像首发文贝克汉姆全家欢聚小七紧搂爸爸脖子罗志祥女友周扬青大方晒素颜照岁修女法庭上暴毙逝世前曾求凯蒂佩里收手运动甩肉林志玲晒泳照
2018-03-20,3,27521,助理 黎明,8913.699999999999,钟丽缇带助理追星现身周杰伦演唱会后台合照日晚夫妇带着助理小白看演唱会点歌环节时小白如愿和偶像周董合唱最长的电影之后还到后台合影钟丽缇都忍不住调侃小白不知道她今晚能睡嘛离偶像的距离只差了一个好老板加油
2018-03-26,3,27522,奖项,10771.3,王宝强获金扫帚奖对观众说声对不起第九届最令人失望导演奖颁给毕志飞逐梦演艺圈与王宝强大闹天竺亲自登台领奖并发表感言虽然它不是个光彩的奖项但可以鞭策人进步我来领奖是因为我爱电影尊重电影尊重观众尊重在座的前辈们我第一次当导演确实欠缺经
2018-03-20,3,27523,黎明,2004.0,乐基儿祝福黎明当爸日前妻受访时表达了祝福希望孩子可爱多生几个替他们感到开心透露等宝宝出生后会送份礼物她还表示认识新女友阿大赞对方挺好的被说两人很像她直言亚洲人都长得差不多可能她像呢
2018-02-17,2,30683,过年 回老家,53215.700000000004,吴磊回四川老家过年和乡亲们合影高大帅气近日回四川老家过年不少老乡纷纷与其合影戴着棒球帽浅色大衣内搭运动服和牛仔裤十分高大帅气被乡亲们围在中间的三石弟弟笑得可爱
2018-02-18,2,30684,王宝强 过年,79539.2,王宝强回乡秒变观光景点大方宴请乡亲接地气近日多位网友晒出返乡过年的视频视频中王宝强秒变观光景点成为大家争抢合照的对象网友还称王宝强在合影结束后还请乡亲们吃饭十分亲切宝宝笑得好开心
2018-02-16,2,30685,春节 过年,9658.1,王菲时隔年同台合唱岁月堪称教课书级回忆杀赞赞新时代获网友跟唱我的春晚我的年细数春节变化我和有个约增添青春气息等带来笑声不断更多
2018-02-17,2,30686,平昌,13810.699999999999,在年平昌冬奥会花滑男单自由滑夺冠伴随着梅林茂在电影阴阳师中的配乐晴明羽生结弦化身冰上阴阳师在赛场上翩翩起舞获得的高分以总成绩达到分霸气夺冠美到窒息收藏
2018-02-18,2,30687,压岁钱 过年,250.7,广东人给压岁钱只讲意头五元十元心到即可岁末年初全国压岁钱地图网上流传火热广东压岁钱平均水平仅为元被吐槽老广表示至今坚守着不近人情的传统只讲意头不比金钱五元十元一元两元多少随意心到即可你怎么看人民日报
2018-02-19,2,30688,回老家 春节,878.2,据说现在后空巢老人回老家后是这种状态嗯是我
2018-02-07,2,30689,地震 春节,8203.0,月日点分台湾花莲附近海域发生级地震灾情不断传出当晚众星发声为台湾祈福
2018-02-15,2,30691,小品,24610.0,节目单公布小浪来给大家划重点小品笑料足观看值很高蔡明潘长江小品赞是美男子的魔术歌曲展现浪漫王菲那英歌曲悠扬声音温暖在近十点与留守儿童唱催泪歌同跳复古迪斯科节目在近点青春
2018-01-05,1,33326,日本 出轨 女子,8605.5,新垣结衣岁旧照曝光近日一组岁旧照曝光她身穿日本传统浴衣玩游戏打乒乓球唱歌不亦乐乎泡温泉时小露香肩头发湿哒哒的样子太迷人
2018-01-21,1,33327,操作 电影,960.3,电影配乐大师汉斯季默教你制作电影配乐满脑子都是骚操作汉斯季默曾获次奥斯卡提名次获奖次格莱美提名次获奖次金球奖提名代表作有盗梦空间角斗士狮子王加勒比海盗黑鹰坠落诺兰的蝙蝠侠三部曲等字幕
